@relation spk1m

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,HL-,U,H*,L*,LH-,HH-}

@data
1,4,NNP,2,TITLE,?,?,T1,?,?,2,A,14,63,71,76,111,141,30,0.208,0.208,S
2,4,NNP,3,SBJ,?,?,T1,?,?,2,A,26,52,69,78,87,120,33,0.283,0.283,L*+H
3,4,VBZ,0,ROOT,?,?,R1,?,?,2,Z,24,53,67,76,86,95,10,0.246,0.246,S
4,4,NNP,3,OBJ,?,?,R1,?,?,2,Z,22,54,68,76,78,97,18,0.168,0.503,LL-
1,19,NNP,4,NAME,?,?,SP1,T1,?,3,A,37,45,72,82,97,142,45,0.295,0.591,L*+H
2,19,NNP,5,NAME,?,?,SP1,T1,?,3,A,17,60,71,76,100,109,9,0.129,0.257,S
3,19,NNS,7,SBJ,?,?,SP1,T1,?,3,A,18,57,68,75,80,89,9,0.298,0.298,S
4,19,NNP,5,POSTHON,?,?,SP1,T1,?,3,A,39,40,61,80,78,120,42,0.173,0.863,HL-
5,19,VBD,0,ROOT,?,?,SP1,R1,?,3,A,32,48,69,79,113,118,5,0.214,0.214,S
6,19,PRP,9,SBJ,?,?,T1,?,?,3,B,9,68,72,76,111,119,8,0.088,0.088,U
7,19,VBZ,7,OBJ,?,?,R1,?,?,3,Z,27,52,67,79,107,118,11,0.225,0.451,H*
